trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
242,False,"{'a': 0.01, 'e': 0.08892161745938634}",20,5,23.836262115018783,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.01, 'e': 0.08803683258237255}",20,14,5.268658991529185,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.01, 'e': 0.0871608514619813}",30,4,39.09240189758503,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.01, 'e': 0.0862935864993705}",30,8,37.643249514032284,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.01, 'e': 0.08543495096732123}",20,7,13.872939214839445,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
247,False,"{'a': 0.01, 'e': 0.08458485900156469}",20,0,5.325902317864855,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
248,False,"{'a': 0.01, 'e': 0.08374322559219596}",25,13,-30.924790754170353,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
249,False,"{'a': 0.01, 'e': 0.08290996657517266}",30,11,29.41470441846871,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.01, 'e': 0.0820849986238988}",20,0,-48.11228523671802,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
251,False,"{'a': 0.01, 'e': 0.08126823924089167}",25,12,18.28896507457042,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.01, 'e': 0.08045960674953244}",20,6,25.294584523179353,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.01, 'e': 0.07965902028589801}",20,4,6.111976350018595,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
254,False,"{'a': 0.01, 'e': 0.07886639979067495}",35,9,38.79688677646924,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.01, 'e': 0.07808166600115313}",25,15,19.254458254834535,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.01, 'e': 0.07730474044329974}",20,10,16.556151533931192,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.01, 'e': 0.07653554542391151}",20,2,3.143277688285645,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
258,False,"{'a': 0.01, 'e': 0.07577400402284548}",20,4,28.93029929601129,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.01, 'e': 0.07502004008532698}",25,13,21.882318477680514,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.01, 'e': 0.07427357821433388}",25,8,25.91052609057818,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.01, 'e': 0.0735345437630571}",25,14,19.933142072840024,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.01, 'e': 0.07280286282743559}",20,2,32.53708331666718,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.01, 'e': 0.0720784622387661}",20,4,28.39679919843579,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.01, 'e': 0.07136126955638605}",25,1,35.27880620866177,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.01, 'e': 0.0706512130604296}",25,0,35.82211127752893,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
266,False,"{'a': 0.01, 'e': 0.06994822174465536}",25,0,25.283039147644182,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
267,False,"{'a': 0.01, 'e': 0.069252225309346}",20,4,-19.36003982512776,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
268,False,"{'a': 0.01, 'e': 0.06856315415427791}",35,21,14.098527358835938,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
269,False,"{'a': 0.01, 'e': 0.06788093937176144}",20,3,27.318293084311716,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.01, 'e': 0.06720551273974976}",30,19,16.81094891488472,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.01, 'e': 0.06653680671501686}",20,0,17.912518356505803,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
272,False,"{'a': 0.01, 'e': 0.06587475442640295}",25,13,19.679598169708058,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.01, 'e': 0.06521928966812753}",30,6,24.707829505089688,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
274,False,"{'a': 0.01, 'e': 0.06457034689316847}",30,16,20.004128013169296,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.01, 'e': 0.06392786120670757}",25,12,22.520190485190675,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.01, 'e': 0.0632917683596407}",30,19,23.527714129754617,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.01, 'e': 0.06266200474215315}",25,11,26.785871190033216,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.01, 'e': 0.06203850737735829}",25,17,15.001709227772514,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.01, 'e': 0.06142121391500013}",30,19,17.15060313608738,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.01, 'e': 0.06081006262521795}",30,0,40.28039914267187,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
281,False,"{'a': 0.01, 'e': 0.06020499239237354}",35,22,21.23451467653402,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.01, 'e': 0.05960594270893937}",25,16,14.507989781677697,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
